Account name,Customer ID,Day,Currency code,Cost,Clicks,Impr.,CTR,Avg. CPC (Converted currency),Cost (Converted currency),Conv. value,Conv. value / cost (current model),Conversions,Cost / conv.,Converted currency code
HigherDOSE,458-964-9684,2024-12-01,USD,38386.42,"5,594","265,769",2.10%,6.86,38386.42,"192,914.78",5.03,329.9,116.36,USD
HigherDOSE,458-964-9684,2024-12-02,USD,49355.84,"7,384","312,249",2.36%,6.68,49355.84,"391,447.29",7.93,622.93,79.23,USD
HigherDOSE,458-964-9684,2024-12-03,USD,27613.16,"4,959","216,280",2.29%,5.57,27613.16,"197,271.01",7.14,318.64,86.66,USD
HigherDOSE,458-964-9684,2024-12-04,USD,18129.28,"3,701","154,818",2.39%,4.9,18129.28,"106,391.81",5.87,176.5,102.72,USD
HigherDOSE,458-964-9684,2024-12-05,USD,15359.17,"3,231","141,569",2.28%,4.75,15359.17,"103,919.18",6.77,162.95,94.26,USD
HigherDOSE,458-964-9684,2024-12-06,USD,12993.02,"2,800","116,105",2.41%,4.64,12993.02,"92,823.46",7.14,144.25,90.07,USD
HigherDOSE,458-964-9684,2024-12-07,USD,15116.33,"2,993","142,516",2.10%,5.05,15116.33,"128,447.04",8.5,203.37,74.33,USD
HigherDOSE,458-964-9684,2024-12-08,USD,14342.59,"3,234","156,521",2.07%,4.43,14342.59,"97,347.59",6.79,163.69,87.62,USD
HigherDOSE,458-964-9684,2024-12-09,USD,16028.96,"3,552","160,772",2.21%,4.51,16028.96,"113,449.49",7.08,193.27,82.94,USD
HigherDOSE,458-964-9684,2024-12-10,USD,17549.62,"3,918","167,750",2.34%,4.48,17549.62,"123,459.99",7.03,202.61,86.62,USD
HigherDOSE,458-964-9684,2024-12-11,USD,16566.86,"3,544","168,941",2.10%,4.67,16566.86,"119,079.60",7.19,189.86,87.26,USD
HigherDOSE,458-964-9684,2024-12-12,USD,15829.86,"3,535","157,731",2.24%,4.48,15829.86,"121,021.27",7.65,182.31,86.83,USD
HigherDOSE,458-964-9684,2024-12-13,USD,16574.47,"3,351","151,295",2.21%,4.95,16574.47,"89,180.23",5.38,144.38,114.8,USD
HigherDOSE,458-964-9684,2024-12-14,USD,17053.82,"3,296","147,225",2.24%,5.17,17053.82,"122,643.68",7.19,185.3,92.03,USD
HigherDOSE,458-964-9684,2024-12-15,USD,20249.28,"3,948","192,908",2.05%,5.13,20249.28,"137,314.36",6.78,222.62,90.96,USD
HigherDOSE,458-964-9684,2024-12-16,USD,23337.1,"4,086","209,344",1.95%,5.71,23337.1,"124,482.97",5.33,220.76,105.71,USD
HigherDOSE,458-964-9684,2024-12-17,USD,21358.36,"3,827","205,937",1.86%,5.58,21358.36,"146,715.72",6.87,224.73,95.04,USD
HigherDOSE,458-964-9684,2024-12-18,USD,22810.33,"3,710","196,462",1.89%,6.15,22810.33,"133,464.36",5.85,214.65,106.27,USD
HigherDOSE,458-964-9684,2024-12-19,USD,19896.45,"3,460","196,215",1.76%,5.75,19896.45,"143,768.21",7.23,213.71,93.1,USD
HigherDOSE,458-964-9684,2024-12-20,USD,19558.12,"3,324","187,813",1.77%,5.88,19558.12,"99,358.21",5.08,147.21,132.86,USD
HigherDOSE,458-964-9684,2024-12-21,USD,18885.6,"3,402","216,184",1.57%,5.55,18885.6,"78,373.68",4.15,127.55,148.06,USD
HigherDOSE,458-964-9684,2024-12-22,USD,17790.11,"3,276","234,688",1.40%,5.43,17790.11,"111,601.23",6.27,187.86,94.7,USD
HigherDOSE,458-964-9684,2024-12-23,USD,19133.82,"3,650","234,505",1.56%,5.24,19133.82,"111,093.14",5.81,132.04,144.91,USD
HigherDOSE,458-964-9684,2024-12-24,USD,11305.93,"2,343","142,073",1.65%,4.83,11305.93,"64,093.83",5.67,111.39,101.5,USD
HigherDOSE,458-964-9684,2024-12-25,USD,16257.04,"4,123","225,112",1.83%,3.94,16257.04,"81,546.54",5.02,164.58,98.78,USD
HigherDOSE,458-964-9684,2024-12-26,USD,16190.69,"4,657","235,331",1.98%,3.48,16190.69,"77,773.42",4.8,135.97,119.08,USD
HigherDOSE,458-964-9684,2024-12-27,USD,17191.42,"4,925","217,297",2.27%,3.49,17191.42,"98,032.56",5.7,169.84,101.22,USD
HigherDOSE,458-964-9684,2024-12-28,USD,15481.58,"4,198","212,678",1.97%,3.69,15481.58,"86,018.17",5.56,153.73,100.71,USD
HigherDOSE,458-964-9684,2024-12-29,USD,17873.29,"4,566","241,526",1.89%,3.91,17873.29,"106,634.28",5.97,172.08,103.87,USD
HigherDOSE,458-964-9684,2024-12-30,USD,16030.81,"4,167","225,711",1.85%,3.85,16030.81,"102,735.20",6.41,176.86,90.64,USD
HigherDOSE,458-964-9684,2024-12-31,USD,14139.51,"3,530","177,958",1.98%,4.01,14139.51,"122,774.72",8.68,195.62,72.28,USD
