"Month","Gross sales","Discounts","Orders","Average order value"
"2024-01-01",3532036.88,-213466.65,6045,548.977
"2024-02-01",2985459.63,-202240.32,5405,514.934
"2024-03-01",2649745.4,-194228.78,4572,537.077
"2024-04-01",2603745.95,-209530.55,4865,492.13
"2024-05-01",3714558.54,-456344.52,6911,471.453
"2024-06-01",1419022.45,-109448.49,2887,453.61
"2024-07-01",1391343.04,-107540.23,2843,451.566
"2024-08-01",1909335.32,-253625.99,3821,433.318
"2024-09-01",1889585.34,-238713.09,3310,498.752
"2024-10-01",1383863.01,-94279.48,2974,433.619
"2024-11-01",6597042.45,-932716.63,10236,553.372
"2024-12-01",10736231.18,-1366989.14,16475,568.694
