"New or returning customer","Month","Customers","Orders","Total sales","Month (previous_year)","Customers (previous_year)","Orders (previous_year)","Total sales (previous_year)"
"Returning","2025-01-01",2386,2574,728158.12,"2024-01-01",1779,1927,526951.16
"New","2025-01-01",4355,4355,2469661.29,"2024-01-01",4111,4111,2521378.5
"New","2025-02-01",2827,2827,1628619.28,"2024-02-01",3592,3592,2116758.07
"Returning","2025-02-01",1608,1738,472612.31,"2024-02-01",1671,1809,470729.47
"Returning","2025-03-01",1745,1995,554324.74,"2024-03-01",1459,1574,447008.28
"New","2025-03-01",2820,2820,1737039.59,"2024-03-01",2996,2996,1930488.42
"New","2025-04-01",2560,2560,1518148.68,"2024-04-01",3063,3063,1865383.2
"Returning","2025-04-01",1374,1459,437233.25,"2024-04-01",1636,1801,449727.79
"Returning","2025-05-01",2197,2383,826742.78,"2024-05-01",2431,2639,792009.63
"New","2025-05-01",4753,4753,2658183.3,"2024-05-01",4271,4271,2459093.22
"Returning","2025-06-01",1834,1990,630253.22,"2024-06-01",1225,1290,257229.46
"New","2025-06-01",2238,2238,1202921.01,"2024-06-01",1595,1595,899866.73
"New","2025-07-01",1915,1915,908192.92,"2024-07-01",1662,1662,951448.19
"Returning","2025-07-01",1151,1228,319430.27,"2024-07-01",1104,1178,255351.88
"Returning","2025-08-01",113,114,28519.35,"2024-08-01",85,86,19598.07
"New","2025-08-01",204,204,105264.83,"2024-08-01",170,170,92416.04
