date,spend,attributed_rev,transactions
2025-12-01,353572.7562519583,0.0,1789.0000000000002
2025-12-02,315325.04234891664,0.0,890.9999999999998
2025-12-03,152450.37913129167,0.0,561.0
2025-12-04,111830.795325,0.0,495.0
2025-12-05,106334.27255429166,0.0,517.0
2025-12-06,104925.35923091667,0.0,521.0
2025-12-07,115617.676235375,0.0,510.0
2025-12-08,109303.69694929167,0.0,609.0
2025-12-09,102358.42531483334,0.0,557.0
2025-12-10,104133.59716108334,0.0,567.9999999999999
2025-12-11,103114.181786125,0.0,579.0
2025-12-12,95837.08320920833,0.0,597.0
2025-12-13,93927.71905431944,0.0,554.0
