Category,Status,Jan_2024,Jan_2025,Jan_2024_Units,Jan_2025_Units,Q1_2024,Q1_2025,Oct_2024,Nov_2024,Dec_2024,Oct_2025,Nov_2025,Dec_2025,Oct_Dec_2024,Oct_Dec_2025,Oct_Dec_2024_Units,Oct_Dec_2025_Units,FY_2024,YTD_2025,Jan_YoY_Pct,Q1_YoY_Pct,Oct_Dec_YoY_Pct,Jan_Pct_of_Q1_2024,Jan_Pct_of_Q1_2025,Avg_Jan_Pct_of_Q1
PEMF - Go Mat,Established,230665.66999999998,277748.68,356,439,700086.64,678415.76,138083.64,738739.04,1367670.3900000001,103148.52,507886.29,520817.24000000005,2244493.0700000003,1131852.05,3604,1810,4216629.210000001,2785769.65,20.411797733056687,-3.0954568708810104,-49.572040781573904,32.9481605305309,40.940776493753624,36.944468512142265
Bundles,Established,209907.29,235837.09,122,151,443570.39,674027.3,66640.17,544163.04,984966.91,59248.33,289742.81999999995,192144.11,1595770.12,541135.26,999,565,2512910.5,2043022.0899999999,12.352977354907486,51.95498058380318,-66.08939763830143,47.32220516342401,34.989248951785775,41.15572705760489
Other Accessories,Established,19654.450000000004,42878.82,272,1149,56864.09,107743.56,26856.190000000002,52004.17999999999,87445.5,11855.869999999999,34927.54000000001,25163.36,166305.87,71946.77,14719,1632,320700.25,318823.37,118.16341846248555,89.47557236913491,-56.73828590656481,34.563904917848866,39.79710713104338,37.180506024446125
PEMF - Original (Pro Mat),Established,595023.4500000001,786036.45,479,629,1682694.6,1854908.7999999998,356197.68,1371157.1799999997,1852487.2199999997,276207.85,1024270.4899999999,888266.2100000001,3579842.0799999996,2188744.55,3163,1860,8298537.37,6771373.2700000005,32.101760023071336,10.234429943496563,-38.85918705106678,35.36134542774429,42.3760160068247,38.86868071728449
Body Care & Supplements,Established,77414.18,83569.27,1215,1280,201447.95,221375.58000000002,45811.880000000005,116150.37,169718.58000000002,35485.07000000001,134981.82000000004,109370.25,331680.83,279837.14,5501,4834,824451.73,848636.61,7.950856031801941,9.892197959820393,-15.63059583515876,38.42887455543726,37.74999482779447,38.089434691615864
Sauna Blanket,Established,1281319.71,789044.28,2312,1498,2968398.83,1810830.35,320760.63,1521611.19,2599465.1799999997,250669.02000000002,1181201.97,1210372.5599999998,4441837.0,2642243.55,8659,4600,10464504.91,6552643.3,-38.41940666002866,-38.99639321714731,-40.51462154059233,43.165348842291515,43.573616932143864,43.369482887217686
Red Light - Neck Enhancer,Established,40583.47000000001,38255.689999999995,122,117,126626.8,89102.58999999998,13012.550000000001,83868.92,112663.28,16738.4,72307.43,51796.99999999999,209544.75000000003,140842.83000000002,754,464,573049.19,393796.11,-5.7357835591683335,-29.633703133933746,-32.78627596253306,32.049668790493016,42.93443097445316,37.49204988247308
Red Light - Mask,Established,428100.8,320460.45999999996,1164,873,1209144.15,749835.16,124865.31,637784.76,907960.5699999998,110435.52999999998,633753.48,692632.9799999999,1670610.64,1436821.9900000002,5130,4664,4486584.6,3288547.0100000007,-25.143690457948225,-37.98628889698551,-13.994203341120807,35.405274052725645,42.737454455990026,39.07136425435783
Red Light - Hat,New in 2025,0.0,464239.58,0,1048,0.0,995511.76,114582.01,512230.24,787179.32,249288.56000000003,592961.05,472203.84,1413991.57,1314453.45,3583,3330,2334179.4699999997,4193139.7299999995,0.0,0.0,-7.03951297248541,0.0,46.63325925953903,46.63325925953903
Microcurrent Body Sculptor,Launched Q2-Q4 2025,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,108858.79000000001,195815.74,159048.13,0.0,463722.6599999999,0,1270,0.0,1126459.5,0.0,0.0,0.0,0.0,0.0,
Red Light - Mat,Launched Q2-Q4 2025,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,147023.43,443651.89,445594.44000000006,0.0,1036269.76,0,1070,0.0,1881902.8399999999,0.0,0.0,0.0,0.0,0.0,
PEMF - Pet Bed,Launched Q2-Q4 2025,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,80017.84,189987.12,0.0,270004.96,0,560,0.0,270004.96,0.0,0.0,0.0,0.0,0.0,
